no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,total_assets,loan_status
-0.29410170109049505,-0.9955591693623701,-1.0072882121006403,1.6179790412084873,1.6330517066580923,0.19261651149360004,1.0327924065085647,0.9306281290482398,0
-1.4735476024106673,1.004460639582551,0.9927645216005845,-0.3417495581237115,-0.32441405900702774,-0.5080906785926198,-1.0610511817096373,-0.7971979356893922,1
0.2956212495695911,-0.9955591693623701,-1.0072882121006403,1.4398218958146511,1.6109334494189382,1.5940308916660397,-0.5448404355838201,1.289523750803831,1
0.2956212495695911,-0.9955591693623701,-1.0072882121006403,1.119139034105746,1.7215247356147079,-0.5080906785926198,-0.7710451445603018,1.033169735264123,1
1.4750671508897635,1.004460639582551,0.9927645216005845,1.6892418993660219,1.0026813753422061,1.5940308916660397,-1.2640554077141721,1.1510925824123888,1
-1.4735476024106673,-0.9955591693623701,0.9927645216005845,-0.09232955457234074,-0.1806453869525274,-0.15773708354950988,-1.6294630145223348,0.06927863683482088,1
1.4750671508897635,-0.9955591693623701,-1.0072882121006403,1.297296179499582,1.9758846938649777,-1.2087978686788396,0.45278033220989383,1.961171271517866,0
-0.29410170109049505,-0.9955591693623701,0.9927645216005845,0.22835330713656452,-0.014758457658873165,1.5940308916660397,-1.2640554077141721,0.21283688553705737,1
-1.4735476024106673,-0.9955591693623701,0.9927645216005845,-1.5175867177230307,-1.4303269209647227,1.5940308916660397,1.0559928894805115,-1.3868121714307207,0
1.4750671508897635,1.004460639582551,-1.0072882121006403,-1.410692430486729,-1.1980852199536067,-0.15773708354950988,-1.2292546832562519,-1.1817289589989541,1
0.8853442002296773,-0.9955591693623701,0.9927645216005845,-0.7693267070689185,-0.4350053452027972,-1.5591514637219497,-0.307035485121365,-0.36652318958268276,0
-0.29410170109049505,1.004460639582551,0.9927645216005845,0.5846675979242371,0.8367944460485519,1.24367729662293,-0.3592365718082454,0.7870698803460033,1
0.2956212495695911,1.004460639582551,0.9927645216005845,-0.02106669641480624,-0.3907688307244894,0.8933237015798199,-1.6758639804662283,0.12054943994276249,1
-0.29410170109049505,-0.9955591693623701,0.9927645216005845,1.4398218958146511,1.8099977645713234,0.54297010653671,0.4585804529528806,1.0639322171288879,0
-0.8838246517505812,1.004460639582551,-1.0072882121006403,-1.125640997856591,-0.8552522327467212,-0.8584442736357297,-0.7594449030743283,-1.109949834647836,1
